#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 01 00 00 999 99.0 99.0 99.00 99.00 99.00 999 1016.9 999.0   9.6 999.0 99.0 99.00 
2023 01 01 00 10 999 99.0 99.0  1.00 10.00  4.32 181 1016.7 999.0   9.6 999.0 99.0 99.00 
2023 01 01 00 20 999 99.0 99.0 99.00 99.00 99.00 999 1016.7 999.0   9.6 999.0 99.0 99.00 
2023 01 01 00 30 999 99.0 99.0 99.00 99.00 99.00 999 1016.7 999.0   9.6 999.0 99.0 99.00 
2023 01 01 00 40 999 99.0 99.0  1.05  9.09  4.47 168 1016.5 999.0   9.6 999.0 99.0 99.00 
2023 01 01 00 50 999 99.0 99.0 99.00 99.00 99.00 999 1016.5 999.0   9.6 999.0 99.0 99.00 
2023 01 01 01 00 999 99.0 99.0 99.00 99.00 99.00 999 1016.4 999.0   9.6 999.0 99.0 99.00 
2023 01 01 01 10 999 99.0 99.0  1.04 10.00  4.44 171 1016.2 999.0   9.5 999.0 99.0 99.00 
2023 01 01 01 20 999 99.0 99.0 99.00 99.00 99.00 999 1016.1 999.0   9.5 999.0 99.0 99.00 
2023 01 01 01 30 999 99.0 99.0 99.00 99.00 99.00 999 1015.9 999.0   9.5 999.0 99.0 99.00 
2023 01 01 01 40 999 99.0 99.0  1.02 10.00  4.50 157 1015.7 999.0   9.5 999.0 99.0 99.00 
2023 01 01 01 50 999 99.0 99.0 99.00 99.00 99.00 999 1015.5 999.0   9.5 999.0 99.0 99.00 
2023 01 01 02 00 999 99.0 99.0 99.00 99.00 99.00 999 1015.2 999.0   9.6 999.0 99.0 99.00 
2023 01 01 02 10 999 99.0 99.0  1.12 10.00  4.70 163 1015.0 999.0   9.5 999.0 99.0 99.00 
2023 01 01 02 20 999 99.0 99.0 99.00 99.00 99.00 999 1014.6 999.0   9.5 999.0 99.0 99.00 
2023 01 01 02 30 999 99.0 99.0 99.00 99.00 99.00 999 1014.3 999.0   9.5 999.0 99.0 99.00 
2023 01 01 02 40 999 99.0 99.0  1.17 10.00  4.87 157 1014.0 999.0   9.6 999.0 99.0 99.00 
2023 01 01 02 50 999 99.0 99.0 99.00 99.00 99.00 999 1013.7 999.0   9.5 999.0 99.0 99.00 
2023 01 01 03 00 999 99.0 99.0 99.00 99.00 99.00 999 1013.4 999.0   9.4 999.0 99.0 99.00 
2023 01 01 03 10 999 99.0 99.0  1.30  5.56  4.96 186 1013.2 999.0   9.4 999.0 99.0 99.00 
2023 01 01 03 20 999 99.0 99.0 99.00 99.00 99.00 999 1012.9 999.0   9.4 999.0 99.0 99.00 
2023 01 01 03 30 999 99.0 99.0 99.00 99.00 99.00 999 1012.7 999.0   9.4 999.0 99.0 99.00 
2023 01 01 03 40 999 99.0 99.0  1.44  6.25  4.98 180 1012.4 999.0   9.4 999.0 99.0 99.00 
2023 01 01 03 50 999 99.0 99.0 99.00 99.00 99.00 999 1012.1 999.0   9.4 999.0 99.0 99.00 
2023 01 01 04 00 999 99.0 99.0 99.00 99.00 99.00 999 1011.9 999.0   9.4 999.0 99.0 99.00 
2023 01 01 04 10 999 99.0 99.0  1.51  5.88  5.22 187 1011.5 999.0   9.4 999.0 99.0 99.00 
2023 01 01 04 20 999 99.0 99.0 99.00 99.00 99.00 999 1011.2 999.0   9.5 999.0 99.0 99.00 
2023 01 01 04 30 999 99.0 99.0 99.00 99.00 99.00 999 1010.8 999.0   9.5 999.0 99.0 99.00 
2023 01 01 04 40 999 99.0 99.0  1.48  6.25  4.98 187 1010.6 999.0   9.6 999.0 99.0 99.00 
2023 01 01 04 50 999 99.0 99.0 99.00 99.00 99.00 999 1010.4 999.0   9.6 999.0 99.0 99.00 
2023 01 01 05 00 999 99.0 99.0 99.00 99.00 99.00 999 1010.2 999.0   9.6 999.0 99.0 99.00 
2023 01 01 05 10 999 99.0 99.0  1.53  6.25  5.03 191 1009.8 999.0   9.7 999.0 99.0 99.00 
2023 01 01 05 20 999 99.0 99.0 99.00 99.00 99.00 999 1009.8 999.0   9.8 999.0 99.0 99.00 
2023 01 01 05 30 999 99.0 99.0 99.00 99.00 99.00 999 1009.5 999.0   9.7 999.0 99.0 99.00 
2023 01 01 05 40 999 99.0 99.0  1.55  6.25  5.12 193 1009.1 999.0   9.8 999.0 99.0 99.00 
2023 01 01 05 50 999 99.0 99.0 99.00 99.00 99.00 999 1009.1 999.0   9.8 999.0 99.0 99.00 
2023 01 01 06 00 999 99.0 99.0 99.00 99.00 99.00 999 1009.0 999.0   9.8 999.0 99.0 99.00 
2023 01 01 06 10 999 99.0 99.0  1.52  6.25  5.05 190 1008.8 999.0   9.8 999.0 99.0 99.00 
2023 01 01 06 20 999 99.0 99.0 99.00 99.00 99.00 999 1008.7 999.0   9.8 999.0 99.0 99.00 
2023 01 01 06 30 999 99.0 99.0 99.00 99.00 99.00 999 1008.5 999.0   9.8 999.0 99.0 99.00 
2023 01 01 06 40 999 99.0 99.0  1.60  7.14  4.97 189 1008.3 999.0   9.8 999.0 99.0 99.00 
2023 01 01 06 50 999 99.0 99.0 99.00 99.00 99.00 999 1008.0 999.0   9.8 999.0 99.0 99.00 
2023 01 01 07 00 999 99.0 99.0 99.00 99.00 99.00 999 1007.8 999.0   9.8 999.0 99.0 99.00 
2023 01 01 07 10 999 99.0 99.0  1.54  5.56  4.92 206 1007.9 999.0   9.8 999.0 99.0 99.00 
2023 01 01 07 20 999 99.0 99.0 99.00 99.00 99.00 999 1007.7 999.0   9.8 999.0 99.0 99.00 
2023 01 01 07 30 999 99.0 99.0 99.00 99.00 99.00 999 1007.3 999.0   9.8 999.0 99.0 99.00 
2023 01 01 07 40 999 99.0 99.0  1.65  7.14  5.03 195 1006.9 999.0   9.8 999.0 99.0 99.00 
2023 01 01 07 50 999 99.0 99.0 99.00 99.00 99.00 999 1006.6 999.0   9.8 999.0 99.0 99.00 
2023 01 01 08 00 999 99.0 99.0 99.00 99.00 99.00 999 1006.4 999.0   9.8 999.0 99.0 99.00 
2023 01 01 08 10 999 99.0 99.0  1.77  6.67  5.39 200 1006.3 999.0   9.8 999.0 99.0 99.00 
2023 01 01 08 20 999 99.0 99.0 99.00 99.00 99.00 999 1006.0 999.0   9.7 999.0 99.0 99.00 
2023 01 01 08 30 999 99.0 99.0 99.00 99.00 99.00 999 1005.7 999.0   9.7 999.0 99.0 99.00 
2023 01 01 08 40 999 99.0 99.0  1.70  7.14  5.15 204 1005.5 999.0   9.7 999.0 99.0 99.00 
2023 01 01 08 50 999 99.0 99.0 99.00 99.00 99.00 999 1005.6 999.0   9.7 999.0 99.0 99.00 
2023 01 01 09 00 999 99.0 99.0 99.00 99.00 99.00 999 1005.3 999.0   9.7 999.0 99.0 99.00 
2023 01 01 09 10 999 99.0 99.0  1.99  7.69  5.45 207 1005.2 999.0   9.6 999.0 99.0 99.00 
2023 01 01 09 20 999 99.0 99.0 99.00 99.00 99.00 999 1005.0 999.0   9.6 999.0 99.0 99.00 
2023 01 01 09 30 999 99.0 99.0 99.00 99.00 99.00 999 1004.8 999.0   9.6 999.0 99.0 99.00 
2023 01 01 09 40 999 99.0 99.0  2.00  7.14  5.45 205 1004.2 999.0   9.6 999.0 99.0 99.00 
2023 01 01 09 50 999 99.0 99.0 99.00 99.00 99.00 999 1004.2 999.0   9.6 999.0 99.0 99.00 
2023 01 01 10 00 999 99.0 99.0 99.00 99.00 99.00 999 1003.9 999.0   9.6 999.0 99.0 99.00 
2023 01 01 10 10 999 99.0 99.0  2.00  7.69  5.52 200 1003.9 999.0   9.5 999.0 99.0 99.00 
2023 01 01 10 20 999 99.0 99.0 99.00 99.00 99.00 999 1003.6 999.0   9.5 999.0 99.0 99.00 
2023 01 01 10 30 999 99.0 99.0 99.00 99.00 99.00 999 1004.2 999.0   9.5 999.0 99.0 99.00 
2023 01 01 10 40 999 99.0 99.0  1.99  7.14  5.59 203 1003.7 999.0   9.5 999.0 99.0 99.00 
2023 01 01 10 50 999 99.0 99.0 99.00 99.00 99.00 999 1004.1 999.0   9.5 999.0 99.0 99.00 
2023 01 01 11 00 999 99.0 99.0 99.00 99.00 99.00 999 1004.0 999.0   9.5 999.0 99.0 99.00 
2023 01 01 11 10 999 99.0 99.0  2.18  7.69  5.78 206 1004.2 999.0   9.5 999.0 99.0 99.00 
2023 01 01 11 20 999 99.0 99.0 99.00 99.00 99.00 999 1004.2 999.0   9.5 999.0 99.0 99.00 
2023 01 01 11 30 999 99.0 99.0 99.00 99.00 99.00 999 1004.1 999.0   9.5 999.0 99.0 99.00 
2023 01 01 11 40 999 99.0 99.0  2.13  7.69  5.70 204 1004.2 999.0   9.5 999.0 99.0 99.00 
2023 01 01 11 50 999 99.0 99.0 99.00 99.00 99.00 999 1004.2 999.0   9.5 999.0 99.0 99.00 
2023 01 01 12 00 999 99.0 99.0 99.00 99.00 99.00 999 1004.3 999.0   9.5 999.0 99.0 99.00 
2023 01 01 12 10 999 99.0 99.0  2.27  7.14  5.90 212 1004.4 999.0   9.5 999.0 99.0 99.00 
2023 01 01 12 20 999 99.0 99.0 99.00 99.00 99.00 999 1004.2 999.0   9.5 999.0 99.0 99.00 
2023 01 01 12 30 999 99.0 99.0 99.00 99.00 99.00 999 1004.3 999.0   9.5 999.0 99.0 99.00 
2023 01 01 12 40 999 99.0 99.0  2.27  8.33  6.02 217 1004.2 999.0   9.5 999.0 99.0 99.00 
2023 01 01 12 50 999 99.0 99.0 99.00 99.00 99.00 999 1004.3 999.0   9.5 999.0 99.0 99.00 
2023 01 01 13 00 999 99.0 99.0 99.00 99.00 99.00 999 1004.3 999.0   9.5 999.0 99.0 99.00 
2023 01 01 13 10 999 99.0 99.0  2.17  9.09  5.80 212 1004.3 999.0   9.5 999.0 99.0 99.00 
2023 01 01 13 20 999 99.0 99.0 99.00 99.00 99.00 999 1004.5 999.0   9.5 999.0 99.0 99.00 
2023 01 01 13 30 999 99.0 99.0 99.00 99.00 99.00 999 1004.6 999.0   9.4 999.0 99.0 99.00 
2023 01 01 13 40 999 99.0 99.0  2.03  8.33  5.77 203 1004.8 999.0   9.4 999.0 99.0 99.00 
2023 01 01 13 50 999 99.0 99.0 99.00 99.00 99.00 999 1005.1 999.0   9.5 999.0 99.0 99.00 
2023 01 01 14 00 999 99.0 99.0 99.00 99.00 99.00 999 1004.9 999.0   9.5 999.0 99.0 99.00 
2023 01 01 14 10 999 99.0 99.0  2.08  9.09  5.83 194 1005.5 999.0   9.5 999.0 99.0 99.00 
2023 01 01 14 20 999 99.0 99.0 99.00 99.00 99.00 999 1005.7 999.0   9.5 999.0 99.0 99.00 
2023 01 01 14 30 999 99.0 99.0 99.00 99.00 99.00 999 1005.7 999.0   9.5 999.0 99.0 99.00 
2023 01 01 14 40 999 99.0 99.0  2.36  8.33  5.73 210 1005.7 999.0   9.5 999.0 99.0 99.00 
2023 01 01 14 50 999 99.0 99.0 99.00 99.00 99.00 999 1005.9 999.0   9.5 999.0 99.0 99.00 
2023 01 01 15 00 999 99.0 99.0 99.00 99.00 99.00 999 1006.0 999.0   9.5 999.0 99.0 99.00 
2023 01 01 15 10 999 99.0 99.0  2.15  9.09  5.60 212 1006.2 999.0   9.4 999.0 99.0 99.00 
2023 01 01 15 20 999 99.0 99.0 99.00 99.00 99.00 999 1006.3 999.0   9.4 999.0 99.0 99.00 
2023 01 01 15 30 999 99.0 99.0 99.00 99.00 99.00 999 1006.3 999.0   9.4 999.0 99.0 99.00 
2023 01 01 15 40 999 99.0 99.0  2.35  8.33  5.75 202 1006.4 999.0   9.4 999.0 99.0 99.00 
2023 01 01 15 50 999 99.0 99.0 99.00 99.00 99.00 999 1006.5 999.0   9.4 999.0 99.0 99.00 
2023 01 01 16 00 999 99.0 99.0 99.00 99.00 99.00 999 1006.5 999.0   9.4 999.0 99.0 99.00 
2023 01 01 16 10 999 99.0 99.0  2.59  9.09  6.14 198 1006.4 999.0   9.3 999.0 99.0 99.00 
2023 01 01 16 20 999 99.0 99.0 99.00 99.00 99.00 999 1006.6 999.0   9.4 999.0 99.0 99.00 
2023 01 01 16 30 999 99.0 99.0 99.00 99.00 99.00 999 1006.6 999.0   9.4 999.0 99.0 99.00 
2023 01 01 16 40 999 99.0 99.0  2.94  9.09  6.47 205 1006.6 999.0   9.4 999.0 99.0 99.00 
2023 01 01 16 50 999 99.0 99.0 99.00 99.00 99.00 999 1006.7 999.0   9.4 999.0 99.0 99.00 
